transcript_ID,fold_induction,family,location
NM_086654,0.92,TER,ER
NM_070848,0.74,MAPK,ER
NM_053742,79.63,nuclear receptor,nucleus
NM_069144,0.93,TIMP,ER
NM_010612,52.39,KIN,ER
NM_035079,0.26,TGF-B,cytosol
NM_044599,0.43,TNF,peroxisome
NM_016741,49.27,TNF,ER
NM_087248,53.73,TNF,nucleus
NM_064411,0.99,nuclear receptor,cytosol
NM_054421,0.85,LIP,cytosol
NM_070116,0.84,P53,peroxisome
NM_053552,0.18,TIMP,mitochondria
NM_059146,0.31,KIN,nucleus
NM_008089,0.48,KAR,cytosol
NM_096827,0.31,nuclear receptor,cytosol
NM_094150,0.65,TER,nucleus
NM_021164,95.79,nuclear receptor,peroxisome
NM_069481,75.98,KAR,nucleus
NM_031539,28.62,JUN,golgi
NM_007699,59.14,TER,peroxisome
NM_023586,33.66,TNF,nucleus
NM_047788,0.4,KIN,cytosol
NM_080792,77.65,KIN,cytosol
NM_036758,88.86,KAR,golgi
NM_085505,60.39,TNF,cytosol
NM_005273,0.18,MAPK,golgi
NM_036498,0.85,JUN,ER
NM_001799,71.75,FOS,peroxisome
NM_038482,38.5,TNF,peroxisome
NM_095411,73.12,nuclear receptor,ER
NM_099045,99.36,KIN,nucleus
NM_078619,0.71,TNF,peroxisome
NM_014437,51.87,TNF,cytosol
NM_083151,0.69,TGF-B,mitochondria
NM_064943,77.83,TGF-B,ER
NM_092805,95.85,TIMP,golgi
NM_072733,44.33,KAR,cytosol
NM_009089,56.11,MAPK,ER
NM_021835,94.3,KAR,ER
NM_027313,0.75,JUN,ER
NM_052121,0.41,TNF,mitochondria
NM_077581,0.98,P53,cytosol
NM_051865,20.67,KAR,peroxisome
NM_080928,0.48,LIP,golgi
NM_090923,79.86,TIMP,nucleus
NM_083642,0.19,KIN,peroxisome
NM_068516,0.37,nuclear receptor,mitochondria
NM_074457,0.36,MAPK,ER
NM_092163,3.74,LIP,ER
NM_046730,5.66,TIMP,nucleus
NM_035637,73.86,KIN,cytosol
NM_013817,19.55,MAPK,peroxisome
NM_056496,0.62,TIMP,ER
NM_059567,0.44,KAR,nucleus
NM_090618,0.7,KIN,golgi
NM_078431,0.45,MAPK,peroxisome
NM_017241,49.37,FOS,mitochondria
NM_013761,0.63,KIN,nucleus
NM_007240,30.14,TIMP,peroxisome
NM_095968,39.66,TNF,ER
NM_001170,0.91,P53,ER
NM_075650,0.94,LIP,mitochondria
NM_007641,0.61,FOS,golgi
NM_099165,60.54,nuclear receptor,nucleus
NM_004334,59.34,TIMP,nucleus
NM_034481,0.93,TIMP,ER
NM_023510,0.99,MAPK,golgi
NM_008139,0.35,JUN,golgi
NM_050842,3.77,FOS,cytosol
NM_066379,0.51,LIP,peroxisome
NM_066680,2.53,KAR,ER
NM_099739,0.42,TNF,cytosol
NM_029925,0.33,P53,nucleus
NM_053878,0.95,JUN,cytosol
NM_022019,0.99,nuclear receptor,cytosol
NM_065726,64.35,nuclear receptor,peroxisome
NM_003589,0.57,JUN,nucleus
NM_029776,25.66,FOS,mitochondria
NM_037992,0.23,JUN,ER
NM_069444,39.74,TGF-B,peroxisome
NM_059706,61.73,TGF-B,ER
NM_003894,14.28,TNF,mitochondria
NM_030521,56.31,MAPK,nucleus
NM_010269,14.81,FOS,mitochondria
NM_058166,55.98,nuclear receptor,ER
NM_012997,0.53,KAR,ER
NM_028471,0.5,MAPK,cytosol
NM_080898,0.92,TGF-B,mitochondria
NM_094722,47.92,FOS,ER
NM_049983,69.73,JUN,ER
NM_073486,0.6,TGF-B,mitochondria
NM_011609,0.38,JUN,golgi
NM_058421,0.48,P53,cytosol
NM_008355,0.97,KIN,peroxisome
NM_056829,0.94,P53,nucleus
NM_064446,83.99,KAR,ER
NM_094073,14.92,KAR,ER
NM_045408,17.38,MAPK,golgi
NM_066600,0.32,LIP,peroxisome
NM_028603,0.77,KAR,mitochondria
NM_089382,0.3,MAPK,ER
NM_040958,0.22,TIMP,ER
NM_070470,0.2,TNF,ER
NM_099615,0.54,KIN,ER
NM_003959,0.52,LIP,cytosol
NM_000207,0.79,P53,nucleus
NM_024343,0.83,nuclear receptor,nucleus
NM_048858,12.48,TGF-B,golgi
NM_033226,24.32,TNF,golgi
NM_029866,98.02,TER,mitochondria
NM_007413,44.65,P53,nucleus
NM_090601,11.03,TER,cytosol
NM_027667,3.2,KIN,nucleus
NM_022939,15.79,TER,cytosol
NM_028790,0.14,TER,nucleus
NM_016470,74.6,P53,ER
NM_068324,0.53,TGF-B,nucleus
NM_021941,82.19,P53,ER
NM_003059,46.52,LIP,ER
NM_025189,56.27,TNF,nucleus
NM_023866,33.56,JUN,cytosol
NM_030095,0.4,nuclear receptor,ER
NM_063744,0.4,KAR,golgi
NM_099827,0.72,JUN,cytosol
NM_022580,0.15,TGF-B,nucleus
NM_057449,45.4,KAR,cytosol
NM_092455,64.86,TNF,cytosol
NM_072817,76.91,TIMP,ER
NM_003572,0.92,MAPK,golgi
NM_071547,0.63,P53,golgi
NM_008432,0.53,TNF,ER
NM_016701,0.57,TNF,golgi
NM_053702,0.31,TNF,nucleus
NM_024931,86.43,TNF,cytosol
NM_086027,0.57,TER,nucleus
NM_059859,0.16,TNF,peroxisome
NM_033228,0.68,nuclear receptor,nucleus
NM_058665,0.5,KAR,nucleus
NM_023553,0.12,KIN,golgi
NM_066848,0.58,nuclear receptor,ER
NM_012358,38.22,P53,cytosol
NM_024289,55.76,TIMP,golgi
NM_057653,76.23,JUN,ER
NM_040457,1.13,KIN,golgi
NM_003420,66.54,FOS,nucleus
NM_037253,0.24,P53,golgi
NM_089950,0.3,KAR,cytosol
NM_089126,67.31,MAPK,golgi
NM_039908,12.04,LIP,peroxisome
NM_052377,0.99,LIP,golgi
NM_004862,72.96,KIN,mitochondria
NM_001552,11.54,P53,mitochondria
NM_060033,0.35,nuclear receptor,nucleus
NM_078129,28.09,TER,cytosol
NM_057085,1.09,TGF-B,ER
NM_019913,85.49,TER,ER
NM_045345,0.6,TNF,ER
NM_008032,79.58,nuclear receptor,peroxisome
NM_071584,0.79,TGF-B,mitochondria
NM_032472,5.76,JUN,mitochondria
NM_061981,4.33,P53,mitochondria
NM_089720,53.26,TIMP,peroxisome
NM_082414,5.66,FOS,peroxisome
NM_049966,77.99,KIN,nucleus
NM_006192,9.63,MAPK,golgi
NM_091470,69.19,MAPK,peroxisome
NM_008700,18.46,KAR,peroxisome
NM_051607,50.83,MAPK,golgi
NM_029414,21.16,LIP,nucleus
NM_010357,25.99,TER,mitochondria
NM_003629,0.17,LIP,nucleus
NM_079888,0.22,TGF-B,ER
NM_070819,0.54,MAPK,ER
NM_065209,94.73,MAPK,peroxisome
NM_072787,85.78,KIN,golgi
NM_066697,64.71,MAPK,mitochondria
NM_064649,0.6,P53,mitochondria
NM_005157,0.1,TER,peroxisome
NM_059315,31.54,TGF-B,cytosol
NM_013790,68.04,TER,golgi
NM_056997,39.53,KIN,mitochondria
NM_094997,38.91,TER,nucleus
NM_084997,48.39,KIN,golgi
NM_033506,97.49,KAR,golgi
NM_067379,93.39,FOS,golgi
NM_001313,0.98,TIMP,cytosol
NM_049438,0.97,KAR,golgi
NM_055945,90.64,nuclear receptor,peroxisome
NM_004650,0.74,TER,cytosol
NM_050126,0.88,P53,mitochondria
NM_008582,19.65,MAPK,nucleus
NM_004277,98.6,MAPK,nucleus
NM_003947,0.34,KAR,mitochondria
NM_096337,0.64,MAPK,mitochondria
NM_052871,42.83,KIN,cytosol
NM_082437,0.61,KIN,nucleus
NM_056294,0.38,TER,peroxisome
NM_015720,0.26,KIN,cytosol
NM_004107,46.18,P53,ER
NM_054173,0.51,TIMP,golgi
NM_093433,0.85,TNF,ER
NM_067695,44.54,MAPK,peroxisome
NM_068532,0.24,P53,mitochondria
NM_052600,0.83,TER,cytosol
NM_025035,0.69,MAPK,cytosol
NM_094368,10.33,TNF,ER
NM_062152,0.39,TER,cytosol
NM_033983,26.01,FOS,mitochondria
NM_047839,37.7,LIP,golgi
NM_005701,39.75,TNF,mitochondria
NM_086180,0.92,JUN,peroxisome
NM_074652,0.63,MAPK,nucleus
NM_037540,52.82,TIMP,mitochondria
NM_036548,0.67,JUN,ER
NM_054897,0.8,TGF-B,cytosol
NM_015914,0.53,JUN,ER
NM_043181,34.19,KIN,cytosol
NM_039257,31.55,KIN,mitochondria
NM_054371,49.38,LIP,peroxisome
NM_006532,26.6,TER,mitochondria
NM_054895,29.0,JUN,cytosol
NM_056584,98.15,JUN,cytosol
NM_054851,0.3,TGF-B,cytosol
NM_094789,1.04,FOS,golgi
NM_085345,0.62,LIP,peroxisome
NM_079335,49.91,LIP,ER
NM_064636,0.41,TGF-B,ER
NM_042828,84.89,MAPK,cytosol
NM_025442,0.28,P53,golgi
NM_038109,77.94,TGF-B,cytosol
NM_047698,17.75,FOS,nucleus
NM_022569,0.45,MAPK,peroxisome
NM_046069,4.97,TER,peroxisome
NM_047663,28.44,KAR,peroxisome
NM_062466,36.33,JUN,mitochondria
NM_067667,0.64,KAR,golgi
NM_092966,4.47,JUN,mitochondria
NM_037008,0.26,JUN,mitochondria
NM_064360,2.73,P53,mitochondria
NM_097845,57.82,TNF,golgi
NM_081526,80.77,MAPK,mitochondria
NM_092552,0.68,FOS,golgi
NM_092330,0.39,TNF,nucleus
NM_000324,0.46,MAPK,nucleus
NM_080430,53.3,TER,nucleus
NM_064478,0.74,TIMP,golgi
NM_061723,17.05,TER,golgi
NM_065332,98.81,JUN,golgi
NM_024199,0.17,MAPK,ER
NM_001605,0.5,P53,ER
NM_023312,0.35,P53,nucleus
NM_045390,0.12,FOS,mitochondria
NM_080816,0.31,KAR,mitochondria
NM_089294,0.79,KIN,cytosol
NM_094489,0.66,TGF-B,mitochondria
NM_074832,0.14,P53,golgi
NM_056410,23.55,nuclear receptor,nucleus
NM_000402,36.07,P53,ER
NM_045728,84.97,TGF-B,nucleus
NM_041377,0.96,JUN,peroxisome
NM_074053,36.4,KAR,nucleus
NM_058146,11.5,LIP,peroxisome
NM_095190,0.64,LIP,mitochondria
NM_083277,94.23,KAR,nucleus
NM_045877,0.13,TIMP,peroxisome
NM_066775,0.79,LIP,ER
NM_035228,49.89,FOS,ER
NM_006410,82.62,P53,cytosol
NM_071236,0.77,TGF-B,cytosol
NM_034818,47.89,LIP,golgi
NM_072472,0.71,TIMP,cytosol
NM_012193,17.15,KAR,peroxisome
NM_001142,57.63,FOS,golgi
NM_094519,0.25,nuclear receptor,golgi
NM_082406,0.64,KIN,nucleus
NM_079523,0.83,FOS,golgi
NM_023189,32.28,TNF,mitochondria
NM_054568,68.03,JUN,golgi
NM_050509,77.46,KAR,mitochondria
NM_057808,0.3,FOS,ER
NM_094084,0.26,TIMP,peroxisome
NM_036358,26.01,KIN,cytosol
NM_036532,90.68,KIN,peroxisome
NM_051792,0.74,JUN,cytosol
NM_056930,0.78,nuclear receptor,mitochondria
NM_083470,16.44,TNF,mitochondria
NM_090501,0.49,TNF,mitochondria
NM_087532,71.0,LIP,nucleus
NM_090630,0.17,JUN,nucleus
NM_072147,0.9,TNF,cytosol
NM_066271,69.67,P53,nucleus
NM_094671,96.5,TGF-B,golgi
NM_025628,0.4,JUN,ER
NM_011189,0.61,KIN,cytosol
NM_079086,13.77,LIP,ER
NM_032587,58.53,JUN,mitochondria
NM_083045,68.15,P53,cytosol
NM_021852,52.61,JUN,nucleus
NM_065463,54.01,JUN,golgi
NM_065865,42.28,JUN,ER
NM_003582,0.27,TNF,nucleus
NM_098395,0.35,MAPK,cytosol
NM_014441,0.31,TER,mitochondria
NM_023209,0.87,TIMP,cytosol
NM_002107,0.25,LIP,ER
NM_089009,0.82,LIP,golgi
NM_075340,61.32,nuclear receptor,mitochondria
NM_029718,0.72,LIP,nucleus
NM_005443,87.75,MAPK,nucleus
NM_004115,0.36,nuclear receptor,ER
NM_021700,0.59,TER,nucleus
NM_065205,0.77,nuclear receptor,nucleus
NM_067938,0.97,KIN,peroxisome
NM_043555,18.72,JUN,nucleus
NM_083407,73.84,FOS,peroxisome
NM_048853,0.44,LIP,cytosol
NM_094879,0.98,FOS,nucleus
NM_049971,0.26,KIN,cytosol
NM_053687,88.28,TER,nucleus
NM_030479,0.27,nuclear receptor,peroxisome
NM_027279,17.73,TGF-B,peroxisome
NM_004331,51.38,TIMP,ER
NM_060799,4.35,MAPK,golgi
NM_092163,34.82,MAPK,peroxisome
NM_006390,0.19,P53,mitochondria
NM_001045,0.56,TER,mitochondria
NM_001972,44.8,TER,peroxisome
NM_032525,0.53,P53,golgi
NM_073630,42.55,LIP,ER
NM_030119,0.67,FOS,ER
NM_005157,0.46,TER,ER
NM_076850,0.3,MAPK,mitochondria
NM_000878,51.07,TNF,ER
NM_062473,0.35,JUN,ER
NM_068540,44.77,nuclear receptor,ER
NM_059223,0.89,P53,mitochondria
NM_008483,0.33,KAR,ER
NM_077346,0.63,KIN,peroxisome
NM_071006,92.84,MAPK,golgi
NM_060068,6.5,TER,ER
NM_093564,15.61,TGF-B,mitochondria
NM_097987,94.79,P53,peroxisome
NM_034155,52.41,KAR,peroxisome
NM_028897,41.53,LIP,nucleus
NM_060400,0.48,TER,ER
NM_025611,0.26,FOS,nucleus
NM_046859,0.98,LIP,peroxisome
NM_090718,87.23,LIP,cytosol
NM_061826,0.61,KAR,nucleus
NM_048838,0.77,MAPK,mitochondria
NM_053875,0.58,TIMP,cytosol
NM_061634,0.96,KAR,nucleus
NM_010476,74.22,LIP,peroxisome
NM_047836,0.4,TNF,peroxisome
NM_075778,94.1,FOS,cytosol
NM_006475,99.55,LIP,nucleus
NM_034089,0.93,TIMP,cytosol
NM_011327,84.04,TIMP,cytosol
NM_064079,97.34,LIP,golgi
NM_071812,98.24,MAPK,golgi
NM_053865,42.4,P53,cytosol
NM_080124,0.62,TER,mitochondria
NM_070639,0.2,P53,mitochondria
NM_004027,0.59,TNF,mitochondria
NM_088277,0.71,KAR,mitochondria
NM_059088,47.87,P53,peroxisome
NM_036082,0.13,KAR,nucleus
NM_030560,0.19,JUN,mitochondria
NM_046555,60.04,TER,ER
NM_014289,0.39,FOS,nucleus
NM_021626,0.41,P53,golgi
NM_001159,0.13,FOS,mitochondria
NM_061493,76.15,MAPK,cytosol
NM_032045,0.2,LIP,mitochondria
NM_036560,25.98,LIP,golgi
NM_090675,0.62,JUN,ER
NM_061294,64.21,KIN,peroxisome
NM_056216,0.88,KIN,golgi
NM_074977,67.5,LIP,peroxisome
NM_014692,29.38,MAPK,golgi
NM_050360,0.41,P53,nucleus
NM_057550,64.99,nuclear receptor,mitochondria
NM_082053,0.5,KIN,golgi
NM_085628,56.05,TGF-B,ER
NM_048064,14.85,P53,nucleus
NM_099397,56.9,TIMP,cytosol
NM_011873,0.86,TIMP,golgi
NM_076257,0.71,LIP,mitochondria
NM_074503,83.86,KAR,ER
NM_025772,0.52,TNF,golgi
NM_053219,0.18,KAR,golgi
NM_031157,64.86,TER,golgi
NM_075707,52.59,KAR,mitochondria
NM_072265,49.61,TIMP,peroxisome
NM_014782,15.79,MAPK,mitochondria
NM_053458,0.42,JUN,golgi
NM_090930,19.83,TNF,mitochondria
NM_000223,97.58,FOS,peroxisome
NM_054894,0.94,TIMP,golgi
NM_027588,20.77,P53,cytosol
NM_053596,0.13,KAR,ER
NM_034365,0.45,JUN,peroxisome
NM_010463,63.94,TNF,mitochondria
NM_057543,0.56,LIP,cytosol
NM_054114,0.19,TGF-B,peroxisome
NM_084165,0.16,KAR,peroxisome
NM_028377,0.17,KAR,golgi
NM_028431,0.65,TGF-B,mitochondria
NM_017706,0.95,TIMP,nucleus
NM_078144,0.39,P53,ER
NM_081668,35.75,TIMP,mitochondria
NM_038366,0.86,TGF-B,cytosol
NM_072558,52.31,TER,mitochondria
NM_084866,0.14,TIMP,golgi
NM_060263,0.64,KAR,golgi
NM_074770,34.67,P53,peroxisome
NM_062639,0.31,JUN,peroxisome
NM_061246,25.65,nuclear receptor,ER
NM_086011,0.5,JUN,cytosol
NM_063560,92.42,TGF-B,golgi
NM_023365,77.92,nuclear receptor,golgi
NM_071242,29.32,KIN,golgi
NM_005262,0.22,TNF,golgi
NM_086120,0.86,KIN,golgi
NM_013701,0.32,TER,ER
NM_050383,10.87,P53,golgi
NM_016298,0.25,P53,ER
NM_024878,47.84,TNF,ER
NM_027022,58.6,nuclear receptor,golgi
NM_074066,0.55,MAPK,peroxisome
NM_035091,72.4,FOS,mitochondria
NM_064907,73.92,TER,mitochondria
NM_098064,10.88,JUN,nucleus
NM_037362,55.36,TNF,mitochondria
NM_046591,38.82,P53,peroxisome
NM_027733,78.85,JUN,golgi
NM_012444,74.75,TIMP,golgi
NM_087498,92.82,KAR,golgi
NM_086553,86.64,P53,nucleus
NM_050384,0.34,KAR,cytosol
NM_036071,0.56,nuclear receptor,peroxisome
NM_074442,80.68,FOS,cytosol
NM_043988,0.4,TGF-B,golgi
NM_041174,0.39,TNF,nucleus
NM_067921,49.5,P53,ER
NM_067023,60.88,JUN,nucleus
NM_051222,99.17,KIN,cytosol
NM_049442,20.53,KIN,nucleus
NM_073778,0.45,KAR,golgi
NM_001670,0.19,nuclear receptor,ER
NM_045828,0.4,nuclear receptor,peroxisome
NM_004726,97.58,KIN,nucleus
NM_037712,0.58,nuclear receptor,peroxisome
NM_097133,0.25,TIMP,mitochondria
NM_099986,0.17,TER,golgi
NM_095889,33.65,TNF,cytosol
NM_069855,0.15,KAR,golgi
NM_018554,0.23,nuclear receptor,mitochondria
NM_097261,0.14,KAR,golgi
NM_076988,31.71,KAR,golgi
NM_040621,0.69,FOS,peroxisome
NM_055924,0.83,KIN,nucleus
NM_031492,90.02,KAR,cytosol
NM_009293,0.97,nuclear receptor,golgi
NM_057803,53.3,P53,peroxisome
NM_008139,65.52,LIP,ER
NM_060998,0.94,KAR,nucleus
NM_000780,52.04,KIN,ER
NM_054888,0.68,TGF-B,golgi
NM_045055,10.26,KAR,mitochondria
NM_077914,92.43,TER,nucleus
NM_026663,11.88,JUN,golgi
NM_052439,77.02,nuclear receptor,nucleus
NM_095821,0.59,KAR,peroxisome
NM_037624,36.21,TGF-B,cytosol
NM_089621,73.75,TNF,ER
NM_002513,0.46,MAPK,peroxisome
NM_097101,0.77,TIMP,ER
NM_040011,65.98,MAPK,golgi
NM_074371,0.85,TNF,nucleus
NM_018738,24.05,FOS,cytosol
NM_028825,27.55,KAR,ER
NM_014180,0.92,MAPK,golgi
NM_097751,46.2,TIMP,nucleus
NM_057495,0.39,TNF,golgi
NM_041325,0.13,KAR,nucleus
NM_095328,33.89,P53,ER
NM_095328,99.06,KAR,peroxisome
NM_076200,0.28,LIP,nucleus
NM_023866,28.26,nuclear receptor,nucleus
NM_055884,0.22,TER,mitochondria
NM_026263,19.73,nuclear receptor,mitochondria
NM_057414,52.26,TNF,ER
NM_062338,11.33,FOS,nucleus
NM_046654,0.22,FOS,golgi
NM_034625,0.72,KIN,ER
NM_065253,74.33,TNF,ER
NM_060137,14.67,LIP,cytosol
NM_066174,18.67,FOS,nucleus
NM_044452,78.54,KAR,ER
NM_018005,0.2,KAR,ER
NM_044074,0.64,KAR,nucleus
NM_032911,64.66,TIMP,golgi
NM_059236,77.02,TIMP,cytosol
NM_048677,6.52,P53,ER
NM_059765,42.4,nuclear receptor,ER
NM_062433,0.14,nuclear receptor,nucleus
NM_004492,0.83,JUN,nucleus
NM_050520,9.93,JUN,cytosol
NM_042959,29.65,KAR,ER
NM_098373,35.43,KIN,ER
NM_056910,7.48,LIP,nucleus
NM_036221,86.39,KIN,nucleus
NM_082412,33.7,MAPK,mitochondria
NM_029255,89.41,MAPK,nucleus
NM_085885,0.11,TGF-B,mitochondria
NM_078249,0.35,KAR,peroxisome
NM_068514,16.94,nuclear receptor,peroxisome
NM_080421,0.92,TNF,ER
NM_082996,55.33,LIP,cytosol
NM_038978,42.2,TIMP,golgi
NM_070588,0.76,TIMP,nucleus
NM_076607,0.28,KIN,mitochondria
NM_092310,0.29,TGF-B,cytosol
NM_086345,0.97,TER,peroxisome
NM_086213,70.47,nuclear receptor,cytosol
NM_005724,0.15,TIMP,golgi
NM_025047,0.26,LIP,peroxisome
NM_022956,0.31,KIN,golgi
NM_035017,34.77,JUN,mitochondria
NM_039716,98.04,KAR,peroxisome
NM_073267,77.94,JUN,golgi
NM_068808,0.28,P53,golgi
NM_066022,0.47,LIP,nucleus
NM_000677,0.36,KAR,cytosol
NM_078493,42.46,FOS,ER
NM_076379,0.75,TGF-B,nucleus
NM_024082,12.73,LIP,golgi
NM_091776,0.17,JUN,cytosol
NM_023578,0.26,TER,nucleus
NM_014979,0.49,P53,ER
NM_033002,0.55,TER,cytosol
NM_096297,0.83,MAPK,cytosol
NM_081626,0.88,FOS,cytosol
NM_058927,0.85,P53,mitochondria
NM_003266,0.4,JUN,peroxisome
NM_059754,0.96,TER,cytosol
NM_074589,0.24,P53,golgi
NM_032803,24.81,MAPK,ER
NM_007737,0.28,MAPK,nucleus
NM_080219,0.43,P53,ER
NM_019097,56.23,LIP,ER
NM_060256,0.14,TIMP,ER
NM_041662,20.23,TIMP,peroxisome
NM_060059,63.35,nuclear receptor,golgi
NM_083257,38.53,LIP,mitochondria
NM_086015,0.19,MAPK,cytosol
NM_035497,57.3,nuclear receptor,cytosol
NM_044102,94.53,TGF-B,nucleus
NM_088221,11.6,TNF,golgi
NM_088488,35.09,FOS,mitochondria
NM_056512,0.42,TIMP,nucleus
NM_044116,0.35,KAR,mitochondria
NM_092446,48.69,JUN,peroxisome
NM_092623,37.48,nuclear receptor,golgi
NM_049244,0.45,KIN,ER
NM_089381,18.86,TGF-B,golgi
NM_041977,0.99,JUN,peroxisome
NM_077800,79.65,P53,ER
NM_070798,0.49,P53,mitochondria
NM_015496,16.04,KAR,mitochondria
NM_033530,0.58,P53,nucleus
NM_039350,0.93,P53,ER
NM_008596,0.72,TIMP,peroxisome
NM_053551,0.43,JUN,nucleus
NM_020386,0.99,JUN,peroxisome
NM_042801,29.48,TNF,nucleus
NM_035542,91.52,JUN,nucleus
NM_064177,69.18,KIN,ER
NM_009432,65.12,TGF-B,golgi
